FileName,Pattern,RGB,Shiftx,Shifty,Pnx,Pny,Ledx,Ledy
D:\維智\cognex\Decap_2-2_Y-Shift\A123456789_V31 decap all mark_#0001_CCD3_w_5120_h_5120_2024-08-28 12-32-13 775.JPG,1,R,-7.60006165686842,1.47026341275227,414.5011198665,1092.70030651899,406.901058209632,1091.23004310624
D:\維智\cognex\Decap_2-2_Y-Shift\A123456789_V31 decap all mark_#0001_CCD3_w_5120_h_5120_2024-08-28 12-32-13 775.JPG,2,B,7.50942018453542,5.08986657564822,1038.95138246642,912.730271583012,1046.46080265096,907.640405007365
D:\維智\cognex\Decap_2-2_Y-Shift\A123456789_V31 decap all mark_#0001_CCD3_w_5120_h_5120_2024-08-28 12-32-13 775.JPG,2,G,4.58897151852693,2.13301641579721,1039.6661371133,1000.1973881128,1044.25510863183,998.064371697005
D:\維智\cognex\Decap_2-2_Y-Shift\A123456789_V31 decap all mark_#0001_CCD3_w_5120_h_5120_2024-08-28 12-32-13 775.JPG,2,R,1.33614905175773,0.924695664604087,1040.25950238804,1087.97501954254,1041.5956514398,1087.05032387794
D:\維智\cognex\Decap_2-2_Y-Shift\A123456789_V31 decap all mark_#0001_CCD3_w_5120_h_5120_2024-08-28 12-32-13 775.JPG,3,B,-7.87877843856865,14.4140170576209,409.456086855655,291.82612446968,401.577308417085,277.41210741206
D:\維智\cognex\Decap_2-2_Y-Shift\A123456789_V31 decap all mark_#0001_CCD3_w_5120_h_5120_2024-08-28 12-32-13 775.JPG,3,G,-4.95656039284517,5.7845391119721,410.02431077125,379.965937320853,405.067750378405,374.18139820888
D:\維智\cognex\Decap_2-2_Y-Shift\A123456789_V31 decap all mark_#0001_CCD3_w_5120_h_5120_2024-08-28 12-32-13 775.JPG,3,R,-8.87176639527793,7.2022382976574,410.385715370975,467.663842827495,401.513948975697,460.461604529837
D:\維智\cognex\Decap_2-2_Y-Shift\A123456789_V31 decap all mark_#0001_CCD3_w_5120_h_5120_2024-08-28 12-32-13 775.JPG,4,B,-4.64846305874312,6.71070914065195,1034.93279922617,288.503253287153,1030.28433616743,281.7925441465
D:\維智\cognex\Decap_2-2_Y-Shift\A123456789_V31 decap all mark_#0001_CCD3_w_5120_h_5120_2024-08-28 12-32-13 775.JPG,4,G,-6.98517341053935,3.17481957562115,1035.23578925288,375.623208787982,1028.25061584235,372.448389212362
D:\維智\cognex\Decap_2-2_Y-Shift\A123456789_V31 decap all mark_#0001_CCD3_w_5120_h_5120_2024-08-28 12-32-13 775.JPG,4,R,-3.86344221154105,2.55608876364045,1036.08545761797,462.994777282947,1032.22201540643,460.438688519308
